FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
7,0,1947,2,828,2018,8.5,3,7.2,0,0,54,32.4,8,2,0,6,0,1230,2038,7,61.2,34.223677,-85.492515,124.526001,22.3281994,9.1019201,0.218713,8,7,7,5,1
7,0,1987,2,128,2018,8.5,4,16.2,0,0,67.9,40.8,5,2,0,18,0,320,2039,7,137.7,31.400372,-86.384902,133.3500061,25.1868992,12.2025003,0.057744,8,8,7,8,1
7,0,2004,2,400,2004,6.7,4,11.6,6.7,23,88.9,88.9,7,2,0,3,0,595,2032,6,262.16,32.4305,-87.2037,126.0599976,24.1077995,11.3259001,0.113358,8,7,6,5,1
8,0,1957,2,100,2012,6.1,4,7.5,0,0,49.4,29.7,7,2,0,0,0,125,2036,6,45.75,32.235087,-87.150092,123.4250031,24.3859005,11.6719999,0.0973547,8,8,6,6,1
7,0,1961,2,450,2016,7.9,3,13.1,0,0,63.4,37.9,7,2,0,3,0,669,2036,6,103.49,33.51039,-87.59308,135.423996,23.4913006,10.0539999,0.184248,8,6,6,6,1
7,0,1979,2,325,1996,7.3,4,14.6,0,9,43,25.9,7,2,0,8,0,309,2037,6,132.86,32.074175,-88.190556,133.1660004,24.9037991,10.9460001,0.10532,8,6,6,6,1
9,0,1936,2,750,1992,8.5,4,11,7.8,8,32.7,23.6,5,2,0,1,0,1050,2034,6,93.5,34.574383,-86.391396,126.5149994,21.9904995,9.4970303,0.17828,8,6,6,4,1
7,0,1966,2,1300,2017,9.6,3,7,0,0,88.9,88.9,8,2,0,40,0,1720,2033,6,67.2,34.12201,-87.23112,138.2059937,21.9634991,9.4773598,0.179777,8,7,6,7,1
19,1,1987,2,110,2003,8.5,4,7.9,0,0,52.1,31.2,5,2,0,5,0,150,2035,8,67.15,32.124214,-86.373282,121.5049973,24.6107998,12.0396996,0.0754937,8,5,7,8,1
7,0,2005,2,410,2017,10.4,4,8,0,0,54.4,32.4,7,2,0,8,0,615,2037,8,83.2,33.3755,-88.2429,134.3029938,23.3784008,10.5998001,0.170323,8,7,8,7,1
7,0,1975,2,2703,2016,11.6,6,30.5,0,0,58,34.7,8,2,0,3,0,4016,2036,5,353.8,33.583308,-86.342997,129.0269928,22.9321003,9.4942999,0.158845,8,9,5,5,0
8,0,1953,2,340,2016,7.9,4,7.6,0,0,88.6,53.2,8,2,0,4,0,505,2036,6,60.04,33.445393,-88.134921,137.1369934,23.2472992,10.3511,0.173415,8,5,6,7,1
7,0,1950,2,1000,2016,7.3,4,7.6,0,0,63,36.6,7,2,0,55,0,1486,2036,6,55.48,33.441368,-88.081456,139.0200043,23.3290997,10.4333,0.175983,8,6,6,7,1
2,0,1985,2,1500,2013,12.2,3,9.8,0,0,85.1,51.1,8,2,0,24,0,2012,2033,6,119.56,31.450816,-88.04252,141.1230011,25.5196991,11.1162004,0.0767384,8,7,6,6,1
7,0,1984,2,1600,2015,7.3,4,7.3,0,0,88.9,88.9,8,2,0,6,0,2240,2035,7,53.29,34.35,-85.5806,129.2189941,22.0415993,8.8888197,0.237597,8,6,7,6,1
7,0,1988,2,1700,2017,10.3,4,8,0,0,80.7,48.3,8,2,0,11,0,1700,2037,8,82.4,32.494879,-88.250491,126.0390015,24.3311996,10.9505997,0.140566,8,8,8,8,1
